Lon_dd,Lat_dd,Location
-122.40845,47.557833,Alki Fishing Reef
-122.416267,47.57,Alki Pipeline
-122.481378,47.542975,Blake Island Breakwater
-122.3858,47.751117,Boeing Creek
-122.377508,47.626139,Centennial Park
-122.331632,47.398799,Des Moines Marina Breakwater
-122.382618,47.593921,Don Armeni
-122.392877,47.808687,Edmonds Marina Breakwater
-122.394857,47.627453,Elliott Bay Marina Breakwater
-122.305132,48.002881,Gedney Island
-122.369623,47.58474,Jack Block Park
-122.429132,47.41946,KVI Tower
-122.498147,47.793596,Kingston Marina Breakwater
-122.492342,47.291419,Les Davis
-122.400119,47.539774,Lowman Beach
-122.543987,47.577128,Manchester
-122.548553,47.26065,Narrows Pipeline
-122.675447,47.955817,Port Ludlow Quarry
-122.499024,47.296664,Ruston Obstruction
-122.327773,47.372989,Saltwater State Park
-122.407163,47.684377,Shilshole Marina Breakwater
-122.49177,47.621669,Wing Point
